cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787242201.3910785,model_2,1,1,1,0
1,1787242201.3910785,model_1,2,2|3,2|3,0
1,1787242201.3910785,model_3,1,2,2,0
1,1787242201.3910785,model_4,1,0,0,0
1,1787242201.3910785,model_5,1,0,0,0
1,1787242201.3910785,model_6,1,1,1,0
2,1787242206.6208007,model_3,1,2,2,0
2,1787242206.6208007,model_6,1,1,1,0
2,1787242206.6208007,model_5,1,0,0,0
2,1787242206.6208007,model_2,1,1,1,0
2,1787242206.6208007,model_1,2,2|3,2|3,0
2,1787242206.6208007,model_4,1,0,0,0
3,1787242211.6337557,model_3,1,2,2,0
3,1787242211.6337557,model_6,1,1,1,0
3,1787242211.6337557,model_1,2,2|3,2|3,0
3,1787242211.6337557,model_5,1,0,0,0
3,1787242211.6337557,model_2,1,1,1,0
3,1787242211.6337557,model_4,1,0,0,0
4,1787242216.7118056,model_3,1,2,2,0
4,1787242216.7118056,model_6,1,1,1,0
4,1787242216.7118056,model_1,2,2|3,0|3,0
4,1787242216.7118056,model_5,1,0,0,0
4,1787242216.7118056,model_2,1,1,1,0
4,1787242216.7118056,model_4,1,0,0,0
5,1787242221.7457697,model_3,1,2,2,0
5,1787242221.7457697,model_6,1,1,1,0
5,1787242221.7457697,model_1,2,2|3,0|3,0
5,1787242221.7457697,model_5,1,0,0,0
5,1787242221.7457697,model_2,1,1,1,0
5,1787242221.7457697,model_4,1,0,0,0
6,1787242226.924972,model_3,1,2,2,0
6,1787242226.924972,model_1,2,2|3,2|3,0
6,1787242226.924972,model_6,1,1,1,0
6,1787242226.924972,model_5,1,0,0,0
6,1787242226.924972,model_2,1,1,1,0
6,1787242226.924972,model_4,1,0,0,0
7,1787242231.9728014,model_3,1,2,2,0
7,1787242231.9728014,model_6,1,1,1,0
7,1787242231.9728014,model_1,2,2|3,0|3,0
7,1787242231.9728014,model_5,1,0,0,0
7,1787242231.9728014,model_2,1,1,1,0
7,1787242231.9728014,model_4,1,0,0,0
8,1787242236.9831583,model_3,1,2,2,0
8,1787242236.9831583,model_6,1,1,1,0
8,1787242236.9831583,model_1,2,2|3,0|3,0
8,1787242236.9831583,model_5,1,0,0,0
8,1787242236.9831583,model_2,1,1,1,0
8,1787242236.9831583,model_4,1,0,0,0
9,1787242242.0429811,model_3,1,2,2,0
9,1787242242.0429811,model_6,1,1,1,0
9,1787242242.0429811,model_1,2,2|3,2|3,0
9,1787242242.0429811,model_5,1,0,0,0
9,1787242242.0429811,model_2,1,1,1,0
9,1787242242.0429811,model_4,1,0,0,0
10,1787242247.2866874,model_3,1,2,2,0
10,1787242247.2866874,model_6,1,1,1,0
10,1787242247.2866874,model_5,1,0,0,0
10,1787242247.2866874,model_1,2,2|3,2|3,0
10,1787242247.2866874,model_2,1,1,1,0
10,1787242247.2866874,model_4,1,0,0,0
11,1787242252.3234127,model_3,1,2,2,0
11,1787242252.3234127,model_6,1,1,1,0
11,1787242252.3234127,model_5,1,0,0,0
11,1787242252.3234127,model_1,2,2|3,0|3,0
11,1787242252.3234127,model_2,1,1,1,0
11,1787242252.3234127,model_4,1,0,0,0
12,1787242257.3377192,model_3,1,2,2,0
12,1787242257.3377192,model_5,1,0,0,0
12,1787242257.3377192,model_6,1,1,1,0
12,1787242257.3377192,model_1,2,2|3,2|3,0
12,1787242257.3377192,model_2,1,1,1,0
12,1787242257.3377192,model_4,1,0,0,0
13,1787242262.359038,model_3,1,2,2,0
13,1787242262.359038,model_5,1,0,0,0
13,1787242262.359038,model_6,1,1,1,0
13,1787242262.359038,model_2,1,1,1,0
13,1787242262.359038,model_1,2,2|3,1|3,0
13,1787242262.359038,model_4,1,0,0,0
14,1787242267.5496047,model_5,1,0,0,0
14,1787242267.5496047,model_3,1,2,2,0
14,1787242267.5496047,model_6,1,1,1,0
14,1787242267.5496047,model_2,1,1,1,0
14,1787242267.5496047,model_1,2,2|3,2|3,0
14,1787242267.5496047,model_4,1,0,0,0
15,1787242272.7943954,model_5,1,0,0,0
15,1787242272.7943954,model_3,1,2,2,0
15,1787242272.7943954,model_6,1,1,1,0
15,1787242272.7943954,model_2,1,1,1,0
15,1787242272.7943954,model_4,1,0,0,0
15,1787242272.7943954,model_1,2,2|3,2|3,0
16,1787242277.8219438,model_5,1,0,0,0
16,1787242277.8219438,model_3,1,2,2,0
16,1787242277.8219438,model_6,1,1,1,0
16,1787242277.8219438,model_2,1,1,1,0
16,1787242277.8219438,model_4,1,0,3,0
16,1787242277.8219438,model_1,2,2|3,1|3,0
17,1787242282.8415117,model_5,1,0,0,0
17,1787242282.8415117,model_3,1,2,2,0
17,1787242282.8415117,model_6,1,1,1,0
17,1787242282.8415117,model_2,1,1,1,0
17,1787242282.8415117,model_4,1,0,3,0
